id;file_name;link_completo
10;Provas UESB Unificados 1 e 2 dia Vestibular 2023.pdf;https://t.me/vestibulareseconcursos/10
11;Gabarito UESB 2023 - Segundo dia.pdf;https://t.me/vestibulareseconcursos/11
12;Gabarito UESB 2023 - Primeiro dia.pdf;https://t.me/vestibulareseconcursos/12
59;PDF- INGLÊS.pdf;https://t.me/vestibulareseconcursos/59
60;PDF- ARTES.pdf;https://t.me/vestibulareseconcursos/60
61;PDF- BIOLOGIA.pdf;https://t.me/vestibulareseconcursos/61
62;PDF- MATEMÁTICA I.pdf;https://t.me/vestibulareseconcursos/62
63;PDF- HISTÓRIA.pdf;https://t.me/vestibulareseconcursos/63
64;PDF- QUÍMICA (1).pdf;https://t.me/vestibulareseconcursos/64
65;Apostila Extensivo.pdf;https://t.me/vestibulareseconcursos/65
66;PDF - GRAMÁTICApdf.pdf;https://t.me/vestibulareseconcursos/66
67;PDF- FILOSOFIA.pdf;https://t.me/vestibulareseconcursos/67
68;PDF - SOCIOLOGIA.pdf;https://t.me/vestibulareseconcursos/68
69;PDF- LITERATURA.pdf;https://t.me/vestibulareseconcursos/69
70;7bb3aef9d570c12708557371eaae445cdfde22e3_3_Conj_2020_Prova_I_Resolucao.pdf;https://t.me/vestibulareseconcursos/70
79;Luciana_Stegagno_Picchio_História_da_Literatura_Brasileira.pdf;https://t.me/vestibulareseconcursos/79
83;José_de_Nicola_Literatura_Brasileira_Das_Origens_aos_Nossos_Dias.pdf;https://t.me/vestibulareseconcursos/83
84;Tópicos_Antigo_Vol3.pdf;https://t.me/vestibulareseconcursos/84
85;Bruce_Alberts_Fundamentos_da_Biologia_Celular_2017,_Grupo_A_libgen.pdf;https://t.me/vestibulareseconcursos/85
120;CCM-Baia-de-Guanabara.pdf;https://t.me/vestibulareseconcursos/120
121;IMO-STANDARD-MARINE-COMMUNICATION-PHRASES.pdf;https://t.me/vestibulareseconcursos/121
122;LAR-completa.pdf;https://t.me/vestibulareseconcursos/122
123;LF-completa.pdf;https://t.me/vestibulareseconcursos/123
124;ModuloMaritimo.pdf;https://t.me/vestibulareseconcursos/124
125;Arte Naval - Fonseca - Vol 1 - 7ª Ed.- 2005.PDF;https://t.me/vestibulareseconcursos/125
126;Bridge-Team-Management.pdf;https://t.me/vestibulareseconcursos/126
127;Carta Piloto.pdf;https://t.me/vestibulareseconcursos/127
128;carta12000.pdf;https://t.me/vestibulareseconcursos/128
130;Ship-Hand.pdf;https://t.me/vestibulareseconcursos/130
131;Shiphandling-for-Mariner.pdf;https://t.me/vestibulareseconcursos/131
132;Ship Handling.pdf;https://t.me/vestibulareseconcursos/132
133;prova_escrita_2006.pdf;https://t.me/vestibulareseconcursos/133
134;prova_escrita_2008.pdf;https://t.me/vestibulareseconcursos/134
135;prova_escrita_2011.pdf;https://t.me/vestibulareseconcursos/135
136;prova_gabarito_Cap_Amador.pdf;https://t.me/vestibulareseconcursos/136
137;Edital_2012_3.pdf;https://t.me/vestibulareseconcursos/137
138;PROVA ROSA 2012 - GABARITO DEFINITIVO - 22 FEV .pdf;https://t.me/vestibulareseconcursos/138
139;Cópia de PNA Vol 3.pdf;https://t.me/vestibulareseconcursos/139
140;Cópia de PNA Vol 2.pdf;https://t.me/vestibulareseconcursos/140
141;NORMAM-26-Rev-1.pdf;https://t.me/vestibulareseconcursos/141
142;normam_17.pdf;https://t.me/vestibulareseconcursos/142
143;normam12_0.pdf;https://t.me/vestibulareseconcursos/143
144;cap5.pdf;https://t.me/vestibulareseconcursos/144
145;cap6.pdf;https://t.me/vestibulareseconcursos/145
146;cap7.pdf;https://t.me/vestibulareseconcursos/146
147;cap8.pdf;https://t.me/vestibulareseconcursos/147
148;cap9.pdf;https://t.me/vestibulareseconcursos/148
149;cap10.pdf;https://t.me/vestibulareseconcursos/149
150;cap11.pdf;https://t.me/vestibulareseconcursos/150
151;cap12.pdf;https://t.me/vestibulareseconcursos/151
152;cap13.pdf;https://t.me/vestibulareseconcursos/152
153;cap14.pdf;https://t.me/vestibulareseconcursos/153
154;cap15a1.pdf;https://t.me/vestibulareseconcursos/154
155;cap15a2.pdf;https://t.me/vestibulareseconcursos/155
156;cap15b1.pdf;https://t.me/vestibulareseconcursos/156
157;cap15b2.pdf;https://t.me/vestibulareseconcursos/157
158;cap-37.pdf;https://t.me/vestibulareseconcursos/158
159;cap-38.pdf;https://t.me/vestibulareseconcursos/159
160;cap-39.pdf;https://t.me/vestibulareseconcursos/160
161;cap-40.pdf;https://t.me/vestibulareseconcursos/161
162;cap1.pdf;https://t.me/vestibulareseconcursos/162
163;cap2a.pdf;https://t.me/vestibulareseconcursos/163
164;cap2b.pdf;https://t.me/vestibulareseconcursos/164
165;cap3.pdf;https://t.me/vestibulareseconcursos/165
166;cap4.pdf;https://t.me/vestibulareseconcursos/166
167;smcp.pdf;https://t.me/vestibulareseconcursos/167
168;Squat-Interaction.pdf;https://t.me/vestibulareseconcursos/168
169;ripeam_72.pdf;https://t.me/vestibulareseconcursos/169
170;rot-cs-completo.pdf;https://t.me/vestibulareseconcursos/170
171;Bernou dia 01 - simu 012023.pdf;https://t.me/vestibulareseconcursos/171
172;Bernou dia 02 - simu 012023.pdf;https://t.me/vestibulareseconcursos/172
173;gabarito bernou dia 01 - simu 012023.pdf;https://t.me/vestibulareseconcursos/173
174;gabarito bernou dia 02 - simu 012023.pdf;https://t.me/vestibulareseconcursos/174
175;01 - Fasciculo - humanas.pdf;https://t.me/vestibulareseconcursos/175
176;02 - Fascículo - Ciências da Natureza e suas Tecnologias.pdf;https://t.me/vestibulareseconcursos/176
177;03 - Fascículo - Linguagens, Códigos e suas Tecnologias.pdf;https://t.me/vestibulareseconcursos/177
178;04 - Fascículo - Matemática_Rodrigo_COMPLETO.pdf;https://t.me/vestibulareseconcursos/178
179;05 - Fascículo - humanas.pdf;https://t.me/vestibulareseconcursos/179
180;06 - Fascículo - Ciências da Natureza - Completo.pdf;https://t.me/vestibulareseconcursos/180
181;07_Fascículo_Linguagens,_Códigos_e_suas_Tecnologias_Completo.pdf;https://t.me/vestibulareseconcursos/181
182;08 - Fasciculo - Matemática .pdf;https://t.me/vestibulareseconcursos/182
183;09 - Fasciculo - humanas .pdf;https://t.me/vestibulareseconcursos/183
184;10 - Fascículo - Ciências da Natureza - 2022 - completo.pdf;https://t.me/vestibulareseconcursos/184
185;11 - Fascículo 11 - Linguagens - 2022_SARAH_11out_OK.pdf;https://t.me/vestibulareseconcursos/185
186;12_Fascículo_Matemática_e_suas_Tecnologias_2022_SARAH_10out_SUPERV+.pdf;https://t.me/vestibulareseconcursos/186
187;13 - Fasciculo - humanas .pdf;https://t.me/vestibulareseconcursos/187
188;14_Fascículo_Ciências_da_Natureza_Georgenes_COMPLETO_SARAH_14out.pdf;https://t.me/vestibulareseconcursos/188
189;15 - Fascículo - Linguagens_Vicentina - completo.pdf;https://t.me/vestibulareseconcursos/189
190;16 - Fascículo - Matemática - 2022 - COMPLETO.pdf;https://t.me/vestibulareseconcursos/190
214;Provas anteriores - ENEM.pdf;https://t.me/vestibulareseconcursos/214
215;Apostila de Provas - UNESP e FUVEST.pdf;https://t.me/vestibulareseconcursos/215
216;Cronograma_ESTUDO_40_semanas_HEXAG.pdf;https://t.me/vestibulareseconcursos/216
217;Guia-EO_Volume1_2019_SP_SM.pdf;https://t.me/vestibulareseconcursos/217
218;Guia-EO_Volume1_2019_RJ_SM.pdf;https://t.me/vestibulareseconcursos/218
219;Guia-EO_Volume1_2019_BH_SM.pdf;https://t.me/vestibulareseconcursos/219
223;Guia-EO_Volume2_2019_SP_.pdf;https://t.me/vestibulareseconcursos/223
224;Guia-EO_Volume2_2019_BH_.pdf;https://t.me/vestibulareseconcursos/224
225;Guia-EO_Volume2_2019_RJ_.pdf;https://t.me/vestibulareseconcursos/225
226;Geografia.pdf;https://t.me/vestibulareseconcursos/226
227;Historia.pdf;https://t.me/vestibulareseconcursos/227
228;Livro_CH.pdf;https://t.me/vestibulareseconcursos/228
229;Livro_CN_Física.pdf;https://t.me/vestibulareseconcursos/229
230;Livro_CN.pdf;https://t.me/vestibulareseconcursos/230
231;Livro_CN_Química.pdf;https://t.me/vestibulareseconcursos/231
232;Livro_CN_Biologia.pdf;https://t.me/vestibulareseconcursos/232
233;Livro_Mat.pdf;https://t.me/vestibulareseconcursos/233
234;Matematica.pdf;https://t.me/vestibulareseconcursos/234
235;Linguegens e codigos - Portuguêsa e Brasileira.pdf;https://t.me/vestibulareseconcursos/235
236;Entre Frases.pdf;https://t.me/vestibulareseconcursos/236
237;Español.pdf;https://t.me/vestibulareseconcursos/237
238;Livro_LC.pdf;https://t.me/vestibulareseconcursos/238
239;Linguagens e Códigos - Brasileira.pdf;https://t.me/vestibulareseconcursos/239
240;Entre Frases_SP_L2.pdf;https://t.me/vestibulareseconcursos/240
241;Aula_5_BREXIT_Uma_história_de_amor_e_ódio_entre_Reino_Unido_e_União.pdf;https://t.me/vestibulareseconcursos/241
242;Aula 4 - Crise no sistema de segurança pública no Brasil.pdf;https://t.me/vestibulareseconcursos/242
